33 5
-6.57646e-06 0.0085579 0.0142198 -0.00765272 -0.00126804 
0.0348453 0.0252355 0.0177206 0.0262074 0.000580356 
0.049043 0.035256 0.045167 0.0460395 0.0318589 
0.0750407 0.0530033 0.0605029 0.0449951 0.0456305 
0.0963551 0.058729 0.0847011 0.0712743 0.0794452 
0.107886 0.0829211 0.0872283 0.100872 0.0851607 
0.12136 0.105812 0.100661 0.0908536 0.092706 
0.156278 0.105065 0.111286 0.116339 0.110159 
0.126793 0.126541 0.130297 0.137854 0.110458 
0.144764 0.115848 0.116466 0.135469 0.142833 
0.156913 0.171315 0.146967 0.124384 0.135539 
0.162934 0.135683 0.159547 0.149272 0.134371 
0.157173 0.136174 0.152128 0.156111 0.147606 
0.168277 0.15663 0.165709 0.173308 0.166888 
0.170628 0.175923 0.160861 0.168283 0.159219 
0.18163 0.16813 0.165751 0.181152 0.161209 
0.172348 0.161431 0.156333 0.189185 0.175923 
0.184238 0.175866 0.179138 0.172634 0.160896 
0.17614 0.181023 0.168672 0.180385 0.18895 
0.182015 0.189849 0.174413 0.187538 0.189198 
0.179732 0.17737 0.163133 0.193634 0.170978 
0.166409 0.175377 0.182005 0.199091 0.179423 
0.161845 0.168746 0.144722 0.175916 0.160192 
0.159288 0.163602 0.172481 0.157993 0.148442 
0.144907 0.129283 0.135319 0.167916 0.142517 
0.122795 0.125967 0.123677 0.131871 0.127793 
0.110919 0.104518 0.0999237 0.1157 0.129536 
0.0899953 0.0843671 0.0906667 0.0876232 0.0913948 
0.0676609 0.0742094 0.073157 0.08501 0.0792715 
0.0576222 0.0385461 0.0342826 0.0478446 0.0575326 
0.0238177 0.029492 0.0238426 0.044456 0.0548771 
0.0186442 0.0154674 0.0162835 0.00884296 0.0200718 
0.00497865 -0.00354635 -0.0135438 -0.00700633 0.00269859 
